customer_id,age,gender
1001,18.0,Female
1002,37.0,Male
1003,50.0,Female
1004,75.0,Female
1005,64.0,Male
1006,67.0,Other
1007,52.0,Female
1008,24.0,Female
1009,42.0,Male
1010,80.0,Male
1011,20.0,Male
1012,73.0,Female
1013,61.0,Female
1014,35.0,Female
1015,67.0,Male
1016,70.0,Male
1017,20.0,Female
1018,24.0,Male
1019,59.0,Female
1020,80.0,Female
1021,19.0,Female
1022,59.0,Male
1023,26.0,Other
1024,58.0,Female
1025,57.0,Female
1026,23.0,Male
1027,60.0,Male
1028,74.0,Male
1029,72.0,Male
1030,19.0,Female
1031,33.0,Female
1032,33.0,Other
1033,,Male
1034,27.0,Male
1035,71.0,Male
1036,66.0,Male
1037,68.0,Male
1038,30.0,Male
1039,18.0,Male
1040,75.0,Female
1041,36.0,Male
1042,59.0,Female
1043,75.0,Female
1044,20.0,Male
1045,18.0,
1046,18.0,Female
1047,,Male
1048,21.0,Male
1049,69.0,Female
1050,,Male
1051,79.0,Male
1052,68.0,Male
1053,78.0,Female
1054,33.0,Female
1055,36.0,Female
1056,71.0,Female
1057,33.0,Male
1058,21.0,Female
1059,60.0,Male
1060,68.0,Male
1061,78.0,Female
1062,76.0,Male
1063,25.0,Female
1064,66.0,Female
1065,71.0,Female
1066,61.0,Female
1067,69.0,Female
1068,70.0,Male
1069,46.0,
1070,20.0,Male
1071,46.0,Male
1072,30.0,Male
1073,25.0,Female
1074,25.0,Male
1075,61.0,Male
1076,49.0,Male
1077,52.0,Male
1078,64.0,Female
1079,52.0,Female
1080,57.0,Female
1081,23.0,Female
1082,71.0,Male
1083,,Female
1084,27.0,Male
1085,69.0,Male
1086,64.0,Male
1087,21.0,Female
1088,30.0,Male
1089,18.0,Male
1090,35.0,Female
1091,24.0,Male
1092,62.0,Female
1093,50.0,Male
1094,79.0,Male
1095,65.0,Male
1096,56.0,Female
1097,50.0,Male
1098,21.0,Male
1099,22.0,Male
1100,56.0,Other
1101,18.0,
1102,20.0,Female
1103,31.0,Male
1104,73.0,Other
1105,46.0,Female
1106,62.0,Female
1107,43.0,Male
1108,28.0,Male
1109,41.0,Male
1110,23.0,Female
1111,66.0,Male
1112,29.0,Male
1113,41.0,Male
1114,79.0,Female
1115,55.0,Male
1116,46.0,Female
1117,52.0,Female
1118,67.0,Female
1119,34.0,Male
1120,58.0,Female
1121,72.0,Female
1122,54.0,Female
1123,,Male
1124,27.0,Male
1125,33.0,Male
1126,77.0,Female
1127,52.0,Male
1128,36.0,Male
1129,44.0,Male
1130,54.0,Female
1131,51.0,Male
1132,62.0,Female
1133,34.0,Female
1134,58.0,Male
1135,45.0,Female
1136,77.0,Male
1137,27.0,Female
1138,27.0,Female
1139,47.0,Female
1140,50.0,Male
1141,,Female
1142,43.0,Female
1143,75.0,Female
1144,,Female
1145,26.0,Male
1146,25.0,Male
1147,79.0,Male
1148,26.0,Female
1149,77.0,Male
1150,35.0,Male
1151,23.0,Female
1152,37.0,Female
1153,56.0,Male
1154,44.0,Female
1155,67.0,Male
1156,56.0,Female
1157,43.0,Male
1158,57.0,
1159,79.0,Female
1160,43.0,Female
1161,27.0,Male
1162,43.0,Female
1163,70.0,Male
1164,31.0,Male
1165,77.0,Female
1166,,Male
1167,55.0,Female
1168,,Female
1169,75.0,Male
1170,20.0,Female
1171,36.0,Male
1172,44.0,Female
1173,48.0,Male
1174,47.0,Female
1175,,Male
1176,32.0,Male
1177,24.0,Male
1178,54.0,Other
1179,40.0,Female
1180,53.0,Female
1181,55.0,Female
1182,62.0,Female
1183,52.0,Female
1184,58.0,Male
1185,54.0,Female
1186,59.0,Female
1187,56.0,Male
1188,37.0,Male
1189,33.0,Female
1190,67.0,Male
1191,39.0,Female
1192,52.0,Male
1193,30.0,Male
1194,45.0,Female
1195,,Male
1196,57.0,Male
1197,,Female
1198,40.0,Female
1199,78.0,Male
1200,50.0,Male
1201,68.0,Female
1202,64.0,Other
1203,53.0,Female
1204,73.0,Male
1205,26.0,
1206,76.0,Male
1207,71.0,Male
1208,49.0,Female
1209,64.0,Male
1210,50.0,Female
1211,,Female
1212,,Female
1213,33.0,Male
1214,37.0,Female
1215,50.0,Female
1216,70.0,Female
1217,42.0,Male
1218,49.0,Male
1219,20.0,Female
1220,25.0,Male
1221,21.0,
1222,22.0,Female
1223,72.0,Female
1224,71.0,Female
1225,69.0,Male
1226,,Female
1227,22.0,Male
1228,35.0,Female
1229,53.0,Female
1230,39.0,Male
1231,48.0,Male
1232,28.0,Male
1233,64.0,Other
1234,37.0,Female
1235,22.0,Female
1236,64.0,Female
1237,74.0,Male
1238,18.0,Female
1239,45.0,Male
1240,70.0,Male
1241,,Female
1242,71.0,Female
1243,44.0,Male
1244,41.0,Female
1245,62.0,Female
1246,27.0,Female
1247,33.0,Female
1248,55.0,Male
1249,60.0,Male
1250,25.0,Male
1251,50.0,Female
1252,40.0,Female
1253,49.0,Male
1254,78.0,Male
1255,22.0,Male
1256,80.0,Female
1257,46.0,Female
1258,66.0,Male
1259,44.0,Male
1260,37.0,Female
1261,66.0,Male
1262,61.0,Female
1263,27.0,Male
1264,62.0,Male
1265,65.0,Female
1266,42.0,Male
1267,76.0,Male
1268,58.0,Male
1269,39.0,Male
1270,18.0,Male
1271,60.0,Male
1272,,Male
1273,65.0,Male
1274,51.0,Female
1275,47.0,Female
1276,28.0,Male
1277,62.0,Male
1278,28.0,Female
1279,44.0,Female
1280,70.0,Female
1281,75.0,Male
1282,80.0,Male
1283,78.0,Male
1284,53.0,Male
1285,30.0,Female
1286,70.0,Male
1287,68.0,Male
1288,80.0,Male
1289,59.0,Female
1290,26.0,Male
1291,49.0,Female
1292,46.0,Male
1293,71.0,Female
1294,42.0,Male
1295,38.0,Female
1296,23.0,Female
1297,70.0,Other
1298,65.0,Female
1299,20.0,Female
1300,45.0,Female
1301,48.0,Female
1302,47.0,Male
1303,75.0,Female
1304,27.0,Female
1305,37.0,Female
1306,29.0,Male
1307,33.0,Male
1308,75.0,Female
1309,77.0,Male
1310,20.0,Male
1311,57.0,Male
1312,32.0,Male
1313,30.0,Male
1314,36.0,
1315,30.0,Male
1316,48.0,Male
1317,80.0,Male
1318,54.0,
1319,63.0,Male
1320,49.0,Female
1321,18.0,Female
1322,23.0,Female
1323,34.0,
1324,33.0,Female
1325,70.0,Female
1326,71.0,Female
1327,71.0,Female
1328,58.0,Female
1329,53.0,Female
1330,58.0,Male
1331,43.0,Female
1332,60.0,Male
1333,68.0,Female
1334,66.0,Female
1335,56.0,Male
1336,21.0,Female
1337,63.0,Male
1338,41.0,Female
1339,64.0,Male
1340,51.0,Female
1341,73.0,Male
1342,39.0,Female
1343,76.0,Female
1344,71.0,Female
1345,38.0,Female
1346,48.0,Female
1347,51.0,Female
1348,66.0,Male
1349,61.0,Female
1350,71.0,Male
1351,41.0,Female
1352,49.0,Male
1353,45.0,Female
1354,75.0,Female
1355,37.0,Male
1356,54.0,
1357,25.0,Female
1358,71.0,Female
1359,42.0,Female
1360,39.0,Female
1361,54.0,Female
1362,49.0,Male
1363,71.0,Male
1364,51.0,Male
1365,50.0,Female
1366,24.0,Male
1367,19.0,Female
1368,43.0,Female
1369,80.0,Male
1370,75.0,Female
1371,57.0,Female
1372,,Male
1373,42.0,Male
1374,29.0,Male
1375,18.0,Male
1376,39.0,Male
1377,37.0,Female
1378,30.0,Male
1379,34.0,Male
1380,19.0,Female
1381,56.0,Female
1382,76.0,Female
1383,61.0,Female
1384,46.0,Male
1385,44.0,Male
1386,37.0,Other
1387,26.0,Female
1388,55.0,Female
1389,53.0,Male
1390,18.0,Female
1391,44.0,Female
1392,35.0,Male
1393,28.0,Female
1394,62.0,Female
1395,51.0,Male
1396,57.0,Male
1397,62.0,Female
1398,,Male
1399,68.0,Male
1400,57.0,Male
